run_name,algorithm,labeled_dataset,description,is_duplicate_of,duration,duration_seconds,duration_hours
ood_cifar100_r0.1_s0_0406_1806,fixmatch,cifar10,FixMatch OOD-type sweep (6 OOD sources × r × seeds),,0h 44m 25s,2665,0.740278
ood_cifar100_r0.1_s10_0406_1851,fixmatch,cifar10,FixMatch OOD-type sweep (6 OOD sources × r × seeds),,0h 44m 54s,2694,0.748333
ood_cifar100_r0.1_s20_0406_1936,fixmatch,cifar10,FixMatch OOD-type sweep (6 OOD sources × r × seeds),,0h 44m 19s,2659,0.738611
ood_cifar100_r0.1_s30_0406_2020,fixmatch,cifar10,FixMatch OOD-type sweep (6 OOD sources × r × seeds),,0h 44m 24s,2664,0.74
ood_cifar100_r0.1_s40_0406_2104,fixmatch,cifar10,FixMatch OOD-type sweep (6 OOD sources × r × seeds),,0h 44m 36s,2676,0.743333
ood_cifar100_r0.2_s0_0407_1645,fixmatch,cifar10,FixMatch OOD-type sweep (6 OOD sources × r × seeds),,0h 44m 16s,2656,0.737778
ood_cifar100_r0.2_s10_0407_1729,fixmatch,cifar10,FixMatch OOD-type sweep (6 OOD sources × r × seeds),,0h 44m 9s,2649,0.735833
ood_cifar100_r0.2_s20_0407_1813,fixmatch,cifar10,FixMatch OOD-type sweep (6 OOD sources × r × seeds),,0h 43m 37s,2617,0.726944
ood_cifar100_r0.2_s30_0407_1857,fixmatch,cifar10,FixMatch OOD-type sweep (6 OOD sources × r × seeds),,0h 44m 0s,2640,0.733333
ood_cifar100_r0.2_s40_0407_1941,fixmatch,cifar10,FixMatch OOD-type sweep (6 OOD sources × r × seeds),,0h 44m 11s,2651,0.736389
ood_cifar100_r0.3_s0_0408_1522,fixmatch,cifar10,FixMatch OOD-type sweep (6 OOD sources × r × seeds),,0h 44m 6s,2646,0.735
ood_cifar100_r0.3_s10_0408_1606,fixmatch,cifar10,FixMatch OOD-type sweep (6 OOD sources × r × seeds),,0h 44m 4s,2644,0.734444
ood_cifar100_r0.3_s20_0408_1650,fixmatch,cifar10,FixMatch OOD-type sweep (6 OOD sources × r × seeds),,0h 43m 51s,2631,0.730833
ood_cifar100_r0.3_s30_0408_1734,fixmatch,cifar10,FixMatch OOD-type sweep (6 OOD sources × r × seeds),,0h 44m 9s,2649,0.735833
ood_cifar100_r0.3_s40_0408_1819,fixmatch,cifar10,FixMatch OOD-type sweep (6 OOD sources × r × seeds),,0h 43m 33s,2613,0.725833
ood_cifar100_r0.4_s0_0409_1355,fixmatch,cifar10,FixMatch OOD-type sweep (6 OOD sources × r × seeds),,0h 43m 33s,2613,0.725833
